"","id","DS1_Cell","DS1_Pt","DS76_Cell","DS81_Cell","DS76_Pt","DS81_Pt","DS76_C","DS81_C","K_C","N_C","S_C","DS1_C"
"1","MKKS",1217,1421,1001,970,903,1030,977,972,623,941,1061,769
"2","NPIPA5",11059,12519,3191,4809,7262,13821,93,11,62,53,16,51
"3","ARL17A",711,557,249,772,895,928,189,634,482,728,521,473
"4","BOLA2",852,925,854,845,633,1714,269,247,176,317,244,236
"5","CEP63",1576,2167,1341,1261,896,517,1728,1700,1991,1808,1323,1398
"6","DGCR6",181,59,15,43,201,312,34,45,26,24,30,197
"7","FAM156A",8338,6623,713,730,2412,5295,NA,NA,NA,NA,NA,NA
"8","GOLGA6L4",325,207,54,48,56,32,49,42,51,29,43,171
"9","HERC3",2538,2389,887,650,1399,105,837,636,868,1423,1126,1609
"10","KYAT1",1628,1152,477,397,1034,1398,NA,NA,NA,NA,NA,NA
"11","MATR3",22077,25262,21098,19995,9994,4152,22261,21076,22191,21588,23813,14760
"12","MIEF1",3604,2978,3344,3919,1918,1255,3528,4131,3642,4332,3432,2409
"13","MPV17L",93,60,17,23,65,101,18,24,15,12,8,70
"14","MRPL23",1846,2586,1936,1533,1457,2796,2010,1606,3127,2808,1391,671
"15","PDE8B",537,383,17,27,749,60,NA,NA,NA,NA,NA,NA
"16","PINX1",511,627,817,1228,537,1378,897,1294,920,1674,1163,342
"17","PRORP",1635,1967,832,522,2417,532,NA,NA,NA,NA,NA,NA
"18","PSEN2",151,31,59,42,39,24,43,24,17,99,8,80
"19","RASA4",1669,1868,831,946,1713,2675,1750,1838,1542,6425,789,2440
"20","SCHIP1",758,695,864,180,2237,216,755,12,2,0,9,380
"21","SLC35D2",40,28,23,12,118,145,167,28,8,28,6,111
"22","SLX1B",4520,3813,2941,2124,5318,4282,2856,2090,1998,2354,2311,1522
"23","SMN1",182,211,107,227,280,112,822,2020,1680,2756,2590,1459
"24","SRSF1",22099,19673,18360,20086,12939,7923,19205,21020,21330,26971,22565,13937
"25","ST6GALNAC6",2141,2287,1275,541,2949,3799,1265,612,1714,1126,1899,1140
"26","TBCE",2443,2131,1218,1039,1237,980,1285,1095,1255,1252,1319,1634
"27","TMSB15B",1974,1426,183,309,242,160,194,327,309,328,260,1320
"28","ZNF280D",439,491,446,285,806,439,709,629,351,74,363,444
"29","ZNF724",858,523,334,658,273,116,NA,NA,NA,NA,NA,NA
"30","DPM1",1653,1651,1304,675,593,274,1376,712,1319,1516,1321,1105
"31","SCYL3",292,348,206,241,365,213,445,435,405,327,410,389
"32","FIRRM",1113,929,559,689,822,857,NA,NA,NA,NA,NA,NA
"33","GCLC",1202,1323,565,1686,405,298,596,1777,863,719,1739,804
"34","NFYA",921,1260,696,664,461,15,3095,2973,3132,2949,2122,3012
"35","STPG1",312,353,72,196,235,300,76,243,241,187,50,233
"36","NIPAL3",2982,3133,872,1605,1410,1023,920,1692,1277,742,911,1994
"37","LAS1L",8774,8857,2947,3206,3162,4328,3109,3379,3932,4542,3984,5866
"38","SEMA3F",292,424,98,343,225,1598,103,362,253,17,99,195
"39","ANKIB1",3554,3260,1657,1307,1932,377,1748,1378,1707,1747,1512,2376
"40","KRIT1",2740,1654,1254,1411,1055,463,1323,1501,1001,1657,1265,1832
"41","RAD52",1632,1456,415,173,1067,450,438,182,380,310,375,1091
"42","BAD",1367,1629,798,817,1057,3357,842,861,750,637,938,914
"43","LAP3",5851,7136,5362,4288,2657,4471,5657,4520,3710,4134,4384,3912
"44","CD99",5413,4362,7321,2065,5106,4778,30845,7426,9939,2364,3423,11389
"45","HECW1",918,54,1848,1928,366,335,1950,2032,11,67,0,614
"46","MAD1L1",1242,1185,2917,2033,2001,6749,3078,2143,1659,1806,712,830
"47","LASP1",676,754,698,584,2387,2913,12632,8353,8126,4294,6719,7580
"48","SNX11",478,479,519,385,593,1225,548,406,552,458,585,320
"49","M6PR",9038,8519,8002,3580,4891,2624,8443,3774,4611,4675,5628,6042
"50","ALS2",408,331,235,119,129,18,730,479,109,816,532,1224
"51","CASP10",596,429,760,190,842,70,1988,639,794,666,523,816
"52","CFLAR",3387,3657,2738,1311,4226,2654,2889,1394,1926,842,936,2285
"53","TFPI",123,130,91,28,194,67,96,30,13,26,21,82
"54","NDUFAF7",773,693,410,302,669,315,439,336,612,713,650,526
"55","RBM5",15308,6909,5066,4018,12556,13216,5345,4235,4598,2680,4369,10234
"56","ARF5",1796,2568,1020,1039,744,1529,3492,3360,3947,3759,2763,4006
"57","POLDIP2",4805,5214,4344,4082,3040,5788,4583,4303,4748,6101,5658,3212
"58","PLXND1",23611,12112,10965,7814,19853,6626,11569,8237,810,3914,4921,15785
"59","AK2",9933,10806,8878,9715,3090,2667,9903,10868,12618,14169,14169,7087
"60","CD38",539,605,4596,10571,5033,809,4849,11143,6352,8110,213,360
"61","FKBP4",2615,1927,800,1785,462,9660,NA,NA,NA,NA,NA,NA
"62","KDM1A",9370,8439,6762,6624,4910,4214,7135,6982,8491,13752,8393,6264
"63","RBM6",10338,8819,4000,3350,9166,12135,4220,3531,4886,3145,3627,6911
"64","CAMKK1",536,229,292,88,833,1872,308,93,69,17,227,358
"65","RECQL",5735,5013,2657,1515,2003,580,2827,1611,3263,3149,3037,3896
"66","VPS50",1000,573,504,506,463,348,NA,NA,NA,NA,NA,NA
"67","HSPB6",35,35,12,12,12,22,13,13,19,14,37,23
"68","ARHGAP33",3947,4143,512,653,6962,4299,870,1053,1479,669,1168,4707
"69","NDUFAB1",1438,1525,1259,1312,1612,2407,1328,1383,1580,2111,1874,961
"70","SLC22A16",442,712,532,292,567,827,561,308,4,2,10,295
"71","ZMYND10",94,51,25,32,114,594,26,34,42,7,13,63
"72","SLC25A13",899,1094,740,561,497,304,781,591,706,1816,1371,601
"73","CDC27",3491,2786,3177,2942,1566,550,3352,3101,4054,3605,3629,2334
"74","HCCS",1721,1445,631,707,348,379,666,745,799,1009,988,1151
"75","DVL2",849,902,534,311,668,208,2805,1644,2534,3956,2823,2736
"76","UPF1",10724,6678,7381,9018,5585,7501,7788,9506,9613,6936,8777,7170
"77","SKAP2",2190,2638,29,2024,411,612,31,2133,9713,0,552,1464
"78","SLC25A5",37125,48705,11600,11497,9933,13552,12239,12119,14778,14636,14501,24820
"79","MCUB",1745,1655,1134,465,1128,358,NA,NA,NA,NA,NA,NA
"80","POLR2J",2157,2437,1829,1831,1521,4356,1949,1966,1795,1894,1832,1514
"81","DHX33",3115,2633,2320,1597,1755,286,2448,1683,2399,5321,3389,2083
"82","THSD7A",1798,720,340,1124,99,12,359,1185,0,0,1,1202
"83","LIG3",3323,3277,2143,2055,1888,1188,2261,2166,3305,3010,2058,2222
"84","RPAP3",2789,2814,2515,2262,1090,608,2654,2384,2117,2810,2085,1865
"85","ACSM3",809,426,12,11,107,51,82,36,2,165,144,640
"86","REXO5",409,212,182,181,442,238,NA,NA,NA,NA,NA,NA
"87","CIAPIN1",1796,1996,1706,1511,1905,3204,1800,1593,1562,1867,2187,1201
"88","SPPL2B",13348,9620,3639,2966,16011,16791,3839,3126,3699,1586,2742,8924
"89","ATOSB",344,1135,525,85,1165,542,NA,NA,NA,NA,NA,NA
"90","PRKAR2B",996,2058,46,212,493,109,49,223,7,0,202,666
"91","MSL3",7802,6160,1513,2181,2368,2508,1596,2299,1834,2572,1320,5216
"92","CREBBP",16051,16143,8303,9274,4975,27,8760,9776,5735,4891,5036,10731
"93","TSPOAP1",10888,5209,2010,1770,14411,8415,NA,NA,NA,NA,NA,NA
"94","MPO",30326,16145,3737,261,29718,6278,3943,275,0,0,7,20274
"95","GCFC2",1083,1457,584,1078,474,360,616,1136,18,672,751,724
"96","WDR54",1396,1009,407,511,915,1359,429,539,1347,1173,1315,936
"97","CROT",353,411,167,115,205,170,176,121,132,169,117,236
"98","ABCB4",775,498,291,245,245,249,687,595,391,652,135,896
"99","KMT2E",17185,9785,11985,9686,6120,954,12645,10210,6700,7468,6198,11489
"100","RHBDD2",683,545,300,494,528,3129,1148,991,1040,777,977,923
"101","IBTK",1414,830,901,802,975,243,2497,2829,2006,3601,1984,2192
"102","ZNF195",1161,998,446,636,752,174,1405,1466,1375,1447,1163,1588
"103","MYCBP2",7876,10268,5399,7365,4163,1654,9725,17215,6312,5213,6139,10674
"104","FBXL3",259,177,175,297,149,85,1621,2234,2077,1439,1554,2305
"105","ITGAL",45,392,2454,441,1641,231,7875,1760,10979,12,604,143
"106","PDK2",2178,2318,1179,1409,1031,1801,1244,1485,882,792,791,1456
"107","ZFX",4978,4239,1971,1807,1192,516,2080,1905,2627,1766,3368,3328
"108","LAMP2",8273,7591,3799,3182,1337,611,4008,3354,1984,2444,2616,5531
"109","GDE1",2427,3140,1522,1582,1304,1184,1606,1668,1368,2451,1672,1623
"110","REX1BD",1706,1438,760,599,1244,2213,NA,NA,NA,NA,NA,NA
"111","OSBPL7",2139,2029,638,507,2500,5909,NA,NA,NA,NA,NA,NA
"112","MAP3K14",994,960,684,777,2220,2426,722,819,739,700,557,665
"113","AP2B1",11457,13938,7716,7436,8146,6999,8141,7838,6959,8490,7913,7660
"114","ZNF263",2902,2942,1816,2100,2386,3030,1916,2214,1637,1941,1734,1940
"115","SPATA20",1333,1484,279,137,997,1318,783,321,1603,636,847,1062
"116","RALA",1144,1285,1666,1525,909,883,1758,1607,1736,2591,1111,765
"117","KDM7A",1329,1069,519,316,580,55,548,333,437,520,263,889
"118","AGK",1441,1325,741,820,1167,464,916,1012,139,676,525,1048
"119","PHTF2",142,138,129,107,297,54,1046,756,1698,906,1082,786
"120","FARP2",2118,1723,1065,1219,1055,690,1124,1285,1179,2088,1170,1416
"121","GGCT",1300,1569,1459,1728,514,585,1562,1895,1742,2818,1269,890
"122","DBF4",2032,1579,1694,2133,551,302,1787,2248,2413,3133,3057,1358
"123","TBXA2R",26,32,901,14,893,234,951,15,51,324,177,17
"124","IFRD1",1323,1499,850,954,817,828,897,1006,542,1011,1237,884
"125","COX10",908,946,789,403,664,263,832,425,820,1203,1284,607
"126","GTF2IRD1",3171,2880,622,716,596,794,656,755,1,2,122,2120
"127","PAF1",5284,5881,3771,3565,2558,5732,3979,3758,4211,3504,4172,3533
"128","VPS41",1193,1009,1948,1638,1314,723,2205,1833,1495,2513,732,874
"129","ELAC2",6116,6529,4188,2122,4013,1871,4419,2237,5382,6497,6892,4089
"130","ARSD",6851,5676,1285,1576,1299,1174,1424,1683,1408,463,646,4824
"131","ADIPOR2",6197,5651,2350,2315,1832,1668,2479,2440,5370,4982,4988,4143
"132","CDKL3",86,77,47,74,35,111,50,78,51,61,44,57
"133","MARK4",3590,3871,1849,1912,1154,1278,2122,2140,1990,2153,2230,2623
"134","PROM1",61,27,93,117,146,25,NA,NA,NA,NA,NA,NA
"135","CCDC124",3373,4470,3483,2749,2205,5071,3675,2898,3661,5253,4172,2255
"136","CEACAM21",204,126,974,410,655,1007,1113,472,151,345,77,136
"137","PAFAH1B1",512,868,662,271,1173,483,6102,2791,5386,5090,5800,5517
"138","NOS2",168,292,45,55,103,1471,NA,NA,NA,NA,NA,NA
"139","BLTP2",15791,18065,11842,12000,11820,5344,NA,NA,NA,NA,NA,NA
"140","GAS7",6776,14103,7876,5082,5797,9174,NA,NA,NA,NA,NA,NA
"141","TRAPPC6A",1266,1525,759,692,1155,1650,801,729,671,396,438,846
"142","CD79B",5200,6163,7153,5185,21369,20535,7547,5465,2368,6009,1535,3476
"143","SCN4A",306,90,510,211,2058,981,538,222,167,24,42,205
"144","ST7L",604,573,240,283,369,586,281,298,220,230,188,404
"145","RPUSD1",2353,2640,1821,1560,2076,4617,1921,1644,1935,2739,1846,1573
"146","LUC7L",6033,3651,944,909,3316,6355,1606,1492,1693,2121,1654,4265
"147","TSR3",2346,2936,1829,1631,1565,3366,1930,1719,1637,1702,1585,1568
"148","PIGQ",2701,3113,1340,1310,3447,6621,1414,1381,1274,939,1727,1806
"149","CRAMP1",4693,3519,2774,3834,4390,2185,NA,NA,NA,NA,NA,NA
"150","DNAJC11",406,476,227,230,240,485,2922,2654,3127,5016,5062,2545
"151","MYLIP",1612,1554,1514,1143,1312,1048,1597,1205,1217,414,1219,1078
"152","E2F2",2959,4699,3593,5848,6744,8500,3791,6164,9444,5542,6103,1978
"153","PSMB1",5877,7151,4820,4072,2608,4585,5086,4292,5503,5622,5398,3929
"154","JARID2",6345,4683,3985,4305,1554,1044,4205,4538,7066,4430,5080,4242
"155","CDKL5",1078,553,47,121,199,106,50,128,63,78,113,721
"156","CDK11A",6147,5288,1585,2131,3664,10116,1672,2246,1690,1361,1804,4110
"157","NADK",5442,4775,4861,4531,6246,8713,5129,4776,3668,4767,3537,3638
"158","CYTH3",1849,1000,2189,1826,1893,1462,2310,1925,831,811,527,1236
"159","ADAM22",83,50,12,88,28,38,26,93,39,955,588,55
"160","SYPL1",1572,2323,1180,855,915,666,1245,901,3427,0,1792,1051
"161","CYB561",241,206,205,96,1239,410,216,101,9,22,48,161
"162","SPAG9",3655,2863,2025,1922,1470,171,3519,3616,3202,3237,3215,4292
"163","CELSR3",1011,401,97,279,57,521,102,294,380,79,817,676
"164","AASS",6198,5459,436,836,2028,480,460,881,1461,2745,2778,4144
"165","SS18L2",671,552,437,423,574,1019,461,446,407,632,374,449
"166","MPND",932,1104,604,860,643,1546,781,1099,848,939,673,757
"167","NFIX",11725,11329,2587,3349,995,1627,2730,3530,805,1179,1255,7839
"168","ST3GAL1",3853,5633,4049,2640,3818,2074,4272,2783,2697,1654,1932,2576
"169","MMP25",2600,392,1186,175,748,1918,1251,184,25,25,42,1738
"170","IL32",53,257,323,16,210,1038,NA,NA,NA,NA,NA,NA
"171","PKD1",10846,9860,2675,4786,7905,14648,2822,5045,2315,2104,2791,7251
"172","MAPK8IP2",377,294,13,22,21,239,NA,NA,NA,NA,NA,NA
"173","MED24",4793,5740,3733,3473,4909,6781,3963,3683,3761,4401,3459,3216
"174","RHOBTB2",189,450,188,292,1231,408,198,308,353,612,327,126
"175","HEATR5B",2755,1954,1913,1536,2333,313,2018,1619,2287,1764,1421,1842
"176","SEC62",7295,6451,4591,5863,1615,1577,4844,6180,3246,4226,3722,4877
"177","RPS20",44830,46085,26862,40647,28088,54507,28342,42845,25993,30704,29316,29971
"178","CSDE1",11519,12779,9230,8767,5889,877,21121,22206,21196,23405,24362,16468
"179","UBE3C",83,184,79,64,316,68,3216,2878,3576,3195,1339,2332
"180","REV3L",1145,1275,1781,969,2376,996,3364,2896,1962,5640,2936,1384
"181","TRAF3IP3",58,393,1401,364,3018,1490,1478,384,1679,470,344,39
"182","POMT2",1281,1282,362,286,1135,1533,382,301,388,481,592,856
"183","VTA1",2572,2431,2287,2762,1122,730,2413,2911,2410,2705,2557,1720
"184","BAZ1B",14996,13893,9944,13216,5799,4594,10492,13931,14871,12472,14429,10026
"185","RANBP9",4849,5002,3234,3313,2615,1313,3412,3492,3561,3502,3543,3242
"186","ETV7",219,360,101,34,242,541,107,36,1,0,373,146
"187","SPRTN",215,140,140,197,88,38,540,546,591,632,613,467
"188","METTL13",2433,2436,1991,1947,1878,2705,NA,NA,NA,NA,NA,NA
"189","DYRK4",608,771,389,143,526,600,410,151,10,445,166,406
"190","ZNF207",8676,9100,6371,6018,8596,3321,9592,7797,9064,9635,9785,6982
"191","UQCRC1",5366,7438,5301,4418,4704,9827,5593,4657,7205,6544,8729,3587
"192","STARD3NL",355,248,363,491,475,627,1077,1076,834,1210,688,683
"193","CD9",5748,1726,6596,2238,5865,3483,13979,4919,1248,8318,216,8897
"194","NCAPD2",994,854,354,445,1237,171,13667,11117,19361,13987,16032,13169
"195","IFFO1",3205,2408,786,373,2102,1556,829,396,1240,867,918,2143
"196","GIPR",102,11,13,13,12,23,NA,NA,NA,NA,NA,NA
"197","PHF7",603,588,394,523,620,315,416,551,465,369,482,403
"198","NISCH",7827,7952,2910,2356,9003,17595,3070,2483,3246,2302,3261,5233
"199","FUZ",672,850,314,559,785,1442,331,589,552,127,736,449
"200","IDS",558,566,142,261,224,91,1045,2249,1330,1000,2712,2444
"201","ZNF200",869,328,504,471,419,381,532,496,521,547,466,581
"202","LRRC23",129,133,92,30,119,137,122,104,279,87,205,140
"203","BTK",16064,14746,7097,4968,7437,3648,7514,5240,5838,8327,4277,10749
"204","HFE",113,160,119,51,137,81,145,54,105,21,79,83
"205","SCMH1",2012,2668,1278,1099,3205,1076,2718,2325,2107,2660,2502,2595
"206","FYN",2674,2970,1582,2594,2288,4258,1669,2734,329,811,1499,1788
"207","HIVEP2",13016,6179,7550,7850,4607,1331,7966,8275,4262,3333,5411,8702
"208","ELOA",3280,3722,2332,2978,1621,1799,NA,NA,NA,NA,NA,NA
"209","LYPLA2",1920,2061,1894,1609,2389,5594,1998,1696,2164,1880,2072,1284
"210","CLCN6",289,184,78,135,277,490,1442,1151,1680,1081,1239,1314
"211","MRC2",1344,1571,245,298,16,2387,NA,NA,NA,NA,NA,NA
"212","APBA3",1359,1271,757,475,1437,3724,NA,NA,NA,NA,NA,NA
"213","MKS1",662,646,515,268,845,969,543,440,493,595,480,554
"214","ABHD5",659,570,330,462,255,477,348,487,230,362,172,441
"215","AKAP8L",3934,3654,1455,1001,4775,3716,2915,2858,2906,2921,3534,4469
"216","MBTD1",2633,2476,1637,2052,1460,278,1727,2163,1536,2341,1965,1760
"217","UTP18",43,76,32,74,52,87,2458,2494,2625,3170,2843,1532
"218","RNF216",2620,2256,3441,3662,2902,4775,3631,3860,3156,2408,1653,1752
"219","TTC19",1607,1658,997,497,812,564,2539,952,1497,2420,2793,2192
"220","PTBP1",13632,16342,13548,12693,13664,8331,23414,25008,26009,29898,25690,18770
"221","DPF1",335,373,78,93,50,430,82,98,81,259,81,224
"222","LARS2",1887,1752,1705,1506,1418,1441,1799,1587,2084,2448,2658,1262
"223","PLAUR",639,915,636,796,405,1857,671,839,267,130,1312,427
"224","ANLN",1976,1231,2373,2373,1768,373,2504,2501,3407,2069,1635,1321
"225","WIZ",2354,2225,1831,1908,3289,3363,3524,4227,3693,3583,3641,3792
"226","RABGAP1",4311,3795,2056,1297,1872,1288,2169,1367,1797,2482,1683,2882
"227","PPP5C",4538,4437,3756,4663,3793,5408,3963,4915,7418,6785,7443,3034
"228","CEP68",4059,2633,4356,2115,3376,713,4596,2229,2295,1678,1718,2714
"229","MAP4K3",927,554,503,614,454,145,531,647,51,445,489,620
"230","LDAF1",637,543,399,493,227,865,NA,NA,NA,NA,NA,NA
"231","BRCA1",6473,6080,3844,4033,3157,2058,4056,4251,6454,5309,4553,4328
"232","ERCC1",3361,3026,2843,2524,3432,5999,3608,3100,1995,2275,2884,2522
"233","CD22",2610,1397,4586,5413,5164,1356,16207,17120,14531,4798,12388,3201
"234","PRICKLE3",2689,1767,523,755,513,627,552,796,656,706,754,1798
"235","EXTL3",1483,1593,1207,2131,1091,2662,1294,2246,1099,848,1552,991
"236","ELOVL5",967,673,694,676,451,197,9149,5529,3831,5561,9041,4481
"237","CALCOCO1",7868,6388,1297,1086,5588,3499,1368,1145,755,716,765,5260
"238","MAP4K5",2565,2499,1026,704,1543,446,1185,787,1475,2018,1086,1824
"239","PSMC4",3174,3923,2444,2874,2315,5452,2579,3029,2647,2585,2591,2122
"240","MAN2B2",4506,4315,1464,2079,1973,2203,1545,2191,1819,1038,1566,3012
"241","SLC25A39",2159,1957,344,562,1743,7361,3543,4462,4676,4694,4111,4542
"242","MVP",622,1644,497,295,1175,1611,1286,637,223,210,181,1479
"243","NUB1",9033,9626,5261,4589,4615,3798,5551,4837,4310,2852,2548,6039
"244","PGM3",1352,753,388,523,490,428,408,551,497,744,630,904
"245","RWDD2A",496,171,86,90,66,102,91,95,39,186,134,332
"246","CLK1",7804,5001,1534,1640,3624,2338,1630,1741,1733,1215,1625,5246
"247","POLR3B",782,700,760,657,313,147,802,693,767,1495,1175,523
"248","ANGEL1",1415,1521,896,1026,1590,1099,945,1081,813,1390,1072,946
"249","RNF14",1334,1406,979,952,655,620,1033,1003,921,275,717,892
"250","DNASE1L1",1992,1962,630,478,1174,1104,665,504,769,608,754,1332
"251","DDX11",10928,9132,3402,1996,12024,8661,3746,2142,5040,3239,4110,7306
"252","HEBP1",895,1411,725,353,802,754,765,372,464,430,391,598
"253","MAMLD1",411,1078,42,25,89,85,44,26,2,0,0,275
"254","TACC3",9696,10134,7968,8847,10403,11498,8447,9421,13322,10788,9269,6484
"255","UFL1",1211,942,1373,1526,1054,148,1449,1609,1652,1816,1339,810
"256","POLA2",2464,2833,2160,1994,2640,3658,2279,2102,3469,3332,3129,1647
"257","ZC3H3",2345,2316,1307,1794,1321,4553,1384,1950,1361,1385,1116,1584
"258","CAPN1",1969,2027,1650,522,3256,4522,8301,5097,10347,5391,7855,6059
"259","MDH1",159,62,83,80,767,1469,3873,3024,3184,3644,3579,2411
"260","SLC30A9",1329,1370,1093,1017,505,126,2056,1888,1226,2359,2521,1834
"261","COX15",2352,1764,1638,1436,1318,1028,1728,1514,2587,2442,2222,1572
"262","CCDC88C",1025,918,998,585,1653,1382,3638,2146,3681,3265,1625,2286
"263","YAF2",955,1060,423,473,284,296,446,499,661,582,715,638
"264","ZMYND11",4072,3989,2721,1666,1372,443,2871,1756,1816,2270,2315,2722
"265","WAS",7822,7979,5377,4967,4455,6310,5673,5236,6666,3355,5609,5229
"266","DPEP1",2143,875,3164,2839,10104,2181,3338,2993,79,1730,8,1433
"267","BID",398,434,973,1108,952,882,2277,1258,2535,2094,4415,523
"268","XYLT2",2555,2118,1081,1110,1102,2138,1141,1170,1249,823,1335,1708
"269","NUDCD3",1598,1602,2656,2338,2629,3680,2812,2464,2410,2823,1225,1068
"270","GLT8D1",1209,692,492,594,802,798,1055,882,876,1225,1356,1005
"271","ATP2C1",3146,3055,2121,1892,1539,1399,2238,1994,1388,2028,2645,2140
"272","SLC38A5",3981,5198,1499,2312,1530,3953,1582,2452,1945,3569,3179,2669
"273","RALBP1",8236,7950,5698,6038,3294,2091,6012,6365,9115,13047,8916,5506
"274","RUFY3",1459,1487,1265,439,1599,318,1335,463,1724,512,818,975
"275","SLC11A1",75,126,34,13,573,802,75,39,19,12,16,55
"276","AGPS",4278,4589,4538,1449,514,34,4788,1527,6843,2079,4034,2860
"277","STEEP1",3117,3342,1113,1226,687,572,NA,NA,NA,NA,NA,NA
"278","TTC27",856,1070,1009,731,819,485,1065,771,1004,1348,782,572
"279","ZNF582",103,72,60,32,91,61,63,34,18,52,50,69
"280","PHLDB1",1028,891,177,60,121,589,186,63,9,2,96,687
"281","PRDM11",576,201,186,351,180,516,202,390,80,97,212,389
"282","CD74",12166,21392,15921,17736,13145,53716,171074,172758,95086,84421,67981,79838
"283","HGF",202,457,111,75,645,121,199,145,0,32,2,260
"284","ZRANB1",2775,2797,2011,1723,1118,1143,2122,1816,1467,1850,1693,1855
"285","NCDN",1554,1567,770,957,1267,1503,812,1009,1370,1236,1069,1039
"286","ZFP64",1294,1423,1157,684,583,237,1221,721,1504,1334,1295,865
"287","MNAT1",430,464,531,359,176,148,560,378,447,1073,335,287
"288","SAMD4A",1133,624,562,157,661,137,593,165,243,50,511,757
"289","MRE11",3903,3503,1976,2760,1707,817,NA,NA,NA,NA,NA,NA
"290","SERPINB1",5470,4817,4300,665,3687,3325,4537,701,2577,2,0,3657
"291","SPAST",1277,1027,933,704,662,143,1341,1079,1195,2121,1242,991
"292","OSBPL5",887,825,468,210,556,485,1151,527,448,0,0,1305
"293","AQR",2097,2025,1292,1428,1213,379,3505,3232,3225,3917,4842,3051
"294","CPS1",161,233,26,86,122,213,30,95,10,33,66,108
"295","FHL1",12671,12207,4620,7159,3897,6114,4875,7546,1383,1025,5509,8471
"296","RTF2",3144,4341,3533,1203,3215,2024,NA,NA,NA,NA,NA,NA
"297","RNF10",6601,11249,4533,4781,4981,7601,4783,5040,4935,4853,5076,4413
"298","ZNF839",1388,1067,470,682,988,2257,496,718,532,535,454,928
"299","ZDHHC6",2577,2443,1043,1300,1500,1412,1100,1370,1110,1203,1247,1723
"300","GRAMD1B",1899,1544,1108,614,1858,1061,1169,647,190,1496,640,1270
"301","RNH1",202,436,108,169,12,240,3305,3413,4070,2945,2795,3378
"302","NDUFS1",2168,2704,2366,2252,1672,539,4407,5044,6378,6792,7888,3948
"303","RB1CC1",2090,1549,862,1616,1255,282,2159,3507,2262,2350,2730,3003
"304","ERP44",3908,4364,2260,2024,1488,2105,2385,2133,1580,1926,2053,2613
"305","ALAS1",2103,2209,1448,1253,1388,1392,1528,1321,2515,1674,2949,1406
"306","AKAP11",4209,3880,2152,2414,2038,317,2271,2545,2384,2635,1574,2814
"307","GLRX2",506,281,303,319,295,137,320,336,391,430,335,338
"308","SNAPC1",714,543,365,468,203,242,385,493,794,770,535,477
"309","DERA",2055,2352,1071,476,969,345,1130,502,1035,957,1474,1374
"310","STRAP",7399,8203,5255,2949,2309,1730,5556,3115,5606,7035,7506,4970
"311","ABCC2",83,80,12,63,109,108,13,66,44,39,41,55
"312","DEF6",3943,4638,3517,2690,3981,9455,3711,2835,3340,1789,3596,2636
"313","PLEKHO1",8211,6497,7527,5938,6175,8582,7942,6259,4720,3227,6030,5489
"314","GCLM",884,699,695,824,140,74,733,869,652,899,815,591
"315","UBR2",4564,3452,1946,2206,2226,1422,2053,2325,1794,1501,1492,3051
"316","DEPDC1",1547,1601,1044,1865,598,246,1102,1966,869,2482,2816,1034
"317","CCDC28A",1293,1106,742,855,337,753,942,1061,711,611,689,1014
"318","RRAGD",3289,1807,1673,1463,378,444,1765,1542,0,1634,2064,2199
"319","HSF2",997,991,566,880,366,373,597,928,885,1075,1320,667
"320","PHF20",3247,2867,2422,2119,1360,1192,2558,2234,2403,2346,1850,2174
"321","HSD17B6",144,169,44,82,51,65,46,86,48,93,67,96
"322","NR1H3",522,527,182,212,328,1047,192,223,133,143,262,349
"323","TYMP",62,480,191,172,449,1944,202,181,109,92,40,41
"324","NCAPH2",3658,3743,1578,2020,3566,13311,2257,2867,3217,2495,3421,2745
"325","TOMM34",2209,2111,2369,2440,1711,3390,2500,2572,1929,2640,2062,1477
"326","SEC63",5364,4766,6162,7573,2661,1209,6501,7983,5547,6122,5124,3586
"327","KPNA6",4941,4634,3229,2854,2386,1508,3407,3008,3635,4073,3293,3303
"328","VIM",33836,53457,38805,32636,35424,28537,40943,34401,62687,40109,42350,22621
"329","RTEL1-TNFRSF6B",1160,1177,232,140,1405,608,245,148,312,153,110,776
"330","RNASET2",4056,5071,4160,3393,7815,23037,4812,3781,630,1283,1166,2926
"331","CD44",1020,1911,2509,2770,1557,1463,8123,9511,17755,11,589,2101
"332","AGPAT4",391,405,32,47,290,199,34,50,98,321,252,261
"333","BTN3A1",861,483,229,175,1206,120,1160,1079,1063,1167,650,2097
"334","MIPEP",364,375,507,350,403,205,535,369,538,782,539,243
"335","PRKCH",766,207,278,136,367,1529,1163,713,2728,5,26,2135
"336","IFNGR1",1037,849,1103,1409,698,1130,1164,1485,1202,974,603,693
"337","B4GALT7",295,131,72,70,418,344,616,691,654,795,653,632
"338","SH2D2A",463,227,414,957,102,905,437,1009,48,578,1661,310
"339","VRK2",1308,1407,690,911,544,297,728,960,880,979,973,874
"340","TNFRSF1B",1224,2002,7513,465,3085,3079,NA,NA,NA,NA,NA,NA
"341","VEZT",3880,3234,1915,1797,1640,547,2067,1974,1237,1916,1896,2742
"342","POU2F2",96,875,718,94,2953,2067,758,99,278,1218,62,64
"343","BRD9",2866,2760,1464,1308,2580,3101,1545,1379,1731,2153,1795,1916
"344","SNX1",7321,7203,4528,4828,7025,4308,4777,5089,5106,4377,5675,4894
"345","TBPL1",614,604,298,449,370,429,314,473,531,591,414,410
"346","BMAL2",993,820,631,280,356,233,NA,NA,NA,NA,NA,NA
